| #  | Upgrade                                                          | Impact Acuratețe | Impact Realism | Efort | Integrare în proiect                                                                               | Riscuri / Pitfalls                                               |
| -- | ---------------------------------------------------------------- | ---------------: | -------------: | ----: | -------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------- |
| 1  | **Pipeline ground-truth & outcomes** (ingest automat la T+H)     |                3 |              4 |     2 | Task zilnic + tabel `prediction_outcome`; hook în `/api/predictions` să marcheze batch-ul „închis” | aliniere cu calendarul bursier; timpii de închidere piață        |
| 2  | **Calibrare online** (Platt / Bayesian binning)                  |                3 |          **5** |     2 | mic serviciu care re-calibrează scorurile pe fereastra recentă; salvăm `calibrator_H.joblib`       | supra-ajustare pe ultimele săpt.; folosește ferestre ≥ 6–12 luni |
| 3  | **Optimizer EV (thresholds Buy/Hold/Sell)** pe fereastră rulantă |            **4** |              4 |     3 | modul „policy” care caută praguri prob/exp/RR ce maximiză EV după costuri; persistă în `.json`     | supra-optimizare; introduce „smoothing” pe parametri             |
| 4  | **Retrain warm-start săptămânal** (recency weighting)            |            **4** |              3 |     3 | job programat; folosește init\_model (LightGBM/CatBoost) + sample weights                          | drift brusc → degradează; ține și un model „last-known-good”     |
| 5  | **Drift detection** (PSI/KS/ADWIN) + auto-retrain                |                2 |              3 |     2 | serviciu mic care calculează drift metrics și declanșează retrain                                  | alarme false; setează praguri realiste și guardrails             |
| 6  | **Quantile regression + Conformal bands** (q10/q50/q90)          |                3 |          **5** |     4 | antrenăm heads de cuantile; la inferență dăm intervale; R\:R din cuantile                          | cost compute mai mare; atenție la „extrapolare” în cozi          |
| 7  | **Ensemble & bandit** (ponderi online pentru modele)             |                4 |              3 |     4 | agregăm 2–3 modele (GBM, CatBoost, TFT) cu **Thompson sampling** pe EV                             | instabil dacă semnalele sunt corelate; pune „cap” pe schimbări   |
| 8  | **Cost model dinamic** (spread/slippage = k·ATR + lichiditate)   |                2 |          **5** |     2 | serviciu care estimează costuri per ticker/regim; feed în EV                                       | subestimarea costurilor distruge EV; validați pe execuții reale  |
| 9  | **Backtest event-driven corect** (execuție T+1, costuri)         |                3 |          **5** |     3 | înlocuiește backtest naïv; rapoarte PF/Sharpe/DD per orizont                                       | „look-ahead” accidental; teste automate anti-leakage             |
| 10 | **Regimuri de piață** (vol/credit) + modele per regim            |                3 |              3 |     4 | clasificator de regim; comută model sau praguri                                                    | overfit pe definirea regimului; comutare prea frecventă          |
| 11 | **NSDQ intraday micro-model** (1–5m) + WS 5s                     |                4 |              2 |     4 | model logistic/GBM mic; features micro-structură; canal WS                                         | latență & rate-limit la furnizor; evaluare intraday realistă     |
| 12 | **News & Macro → features** (shock, sentiment, policy)           |            **4** |              3 |     4 | pipeline MIE: evenimente → scor impact → variabile X(H)                                            | licențe știri, dedup; etichetare „surpriză” corectă              |
| 13 | **SHAP stability & pruning** (feature hygiene)                   |                2 |              2 |     2 | raport SHAP periodic; scoatem feature-uri instabile                                                | eliminarea greșită a unor semnale; folosește criterii robuste    |
| 14 | **Optuna tuning lunar** (num\_leaves/depth/lr etc.)              |                3 |              1 |     3 | worker cu triaj rapid (20–50 trials) pe ferestre recente                                           | consum compute; scade revenirile dacă datele se schimbă rapid    |
| 15 | **Meta-calibrare pe segmente** (sector/vol/clustere)             |                2 |          **4** |     3 | păstrăm calibratori separați pe clustere; selectăm la inferență                                    | complexitate; riscul de sample-size mic per cluster              |
| 16 | **Consolidare Feature Store** (Parquet, snapshot P.I.T.)         |                2 |              3 |     3 | versiuni + snapshot time-travel; reproducibilitate 100%                                            | spațiu disc; disciplină strictă la generare                      |
| 17 | **Threshold guardrails** (reguli de risc la decizie)             |                2 |              3 |     1 | minim/maximum expunere, max DD zilnic, stop auto                                                   | prea conservator → sub-utilizezi semnalele                       |
| 18 | **Traiectorii 1..14d** (MC din cuantile)                         |                3 |          **4** |     2 | funcție de compunere geometrică + MC 1k pentru prob\_7d                                            | presupuneri de independență; folosește corelație serială simplă  |
| 19 | **Monitoring metrice online** (Brier, ECE, CRPS, EV live)        |                2 |          **4** |     2 | Prometheus/Grafana; praguri + alerte                                                               | „metric drift” neinterpretat → alert fatigue                     |
| 20 | **Human-in-the-loop** (revizuire edge cases)                     |                1 |              2 |     2 | UI intern pt. tag-uri pe evenimente/erori mari                                                     | bias uman; păstrează doar feedback „hard” verificabil            |
